Gene start,Gene end,Strand,Gene name,Accnum,Product,Accession
25807,28428,1,T_RS25745,NA,fimbrial usher BcfC,NC_004631.1
28429,29436,1,T_RS00120,WP_000701253.1,fimbrial protein BcfD,NC_004631.1
29437,29982,1,T_RS00125,WP_001082042.1,fimbrial protein BcfE,NC_004631.1
29998,30516,1,T_RS00130,WP_001243237.1,fimbrial protein BcfF,NC_004631.1
30482,31213,1,T_RS00135,WP_001135023.1,fimbrial chaperone BcfG,NC_004631.1
31278,32123,1,T_RS00140,WP_000291399.1,DsbA family protein,NC_004631.1
32162,32449,1,T_RS00145,WP_000839835.1,hypothetical protein,NC_004631.1
32549,32998,-1,T_RS00150,WP_001250363.1,transcriptional regulator,NC_004631.1
33368,34363,1,T_RS00155,WP_001247397.1,LysR family transcriptional regulator,NC_004631.1
34380,34816,-1,T_RS00160,NA,transcriptional regulator,NC_004631.1
35339,37057,1,T_RS00165,WP_001035853.1,aryl-sulfate sulfotransferase,NC_004631.1
37103,38674,-1,T_RS00170,WP_000262866.1,bifunctional metallophosphatase/5'-nucleotidase,NC_004631.1
38773,39534,-1,T_RS00175,WP_000791535.1,hypothetical protein,NC_004631.1
40128,41621,1,T_RS00180,WP_000831876.1,sulfatase-like hydrolase/transferase,NC_004631.1
41720,42910,1,T_RS00185,WP_000971151.1,anaerobic sulfatase maturase,NC_004631.1
42929,44181,1,T_RS00190,NA,cytoplasmic protein,NC_004631.1
44308,46023,1,T_RS00195,WP_001094796.1,aryl-sulfate sulfotransferase,NC_004631.1
46186,47352,1,T_RS00200,WP_000681337.1,Na+/H+ antiporter NhaA,NC_004631.1
47414,48313,1,T_RS00205,WP_000062872.1,transcriptional activator NhaR,NC_004631.1
48368,50407,-1,T_RS00210,WP_001116444.1,glycoside hydrolase family 31 protein,NC_004631.1
50447,51820,-1,T_RS00215,WP_010989104.1,MFS transporter,NC_004631.1
51978,52223,-1,T_RS25750,WP_001110886.1,hypothetical protein,NC_004631.1
52277,52540,-1,T_RS00220,WP_001518655.1,30S ribosomal protein S20,NC_004631.1
52646,52861,1,T_RS00225,WP_001575565.1,YaaY family protein,NC_004631.1
52869,53807,1,T_RS00230,WP_000767311.1,bifunctional riboflavin kinase/FAD synthetase,NC_004631.1
53852,56686,1,T_RS00235,WP_010989105.1,isoleucine--tRNA ligase,NC_004631.1
56686,57186,1,T_RS00240,WP_000042743.1,signal peptidase II,NC_004631.1
57341,57790,1,T_RS00245,WP_000047269.1,FKBP-type peptidyl-prolyl cis-trans isomerase,NC_004631.1
57793,58743,1,T_RS00250,WP_001166426.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,NC_004631.1
58943,60145,1,T_RS00255,WP_000516332.1,hypothetical protein,NC_004631.1
60161,61081,1,T_RS00260,WP_000127280.1,ribonucleoside hydrolase RihC,NC_004631.1
61103,61789,-1,T_RS00265,WP_000377415.1,response regulator,NC_004631.1
61791,63410,-1,T_RS00270,WP_011106932.1,sensor histidine kinase,NC_004631.1
63545,64846,-1,T_RS00275,WP_000444844.1,oxalacetate decarboxylase subunit beta,NC_004631.1
64859,66634,-1,T_RS00280,WP_000150450.1,sodium-extruding oxaloacetate decarboxylase subunit alpha,NC_004631.1
66650,66889,-1,T_RS00285,WP_001001151.1,oxaloacetate decarboxylase subunit gamma,NC_004631.1
67048,68388,-1,T_RS00290,WP_000183602.1,citrate/sodium symporter CitS,NC_004631.1
68633,69676,1,T_RS00295,WP_001181444.1,[citrate (pro-3S)-lyase] ligase,NC_004631.1
69706,69999,1,T_RS00300,WP_000691461.1,citrate lyase acyl carrier protein,NC_004631.1
69996,70865,1,T_RS00305,WP_001247810.1,citrate (pro-3S)-lyase subunit beta,NC_004631.1
70876,72396,1,T_RS00310,WP_000665586.1,citrate lyase subunit alpha,NC_004631.1
72396,72947,1,T_RS00315,WP_000679050.1,citrate lyase holo-[acyl-carrier protein] synthase,NC_004631.1
72925,73833,1,T_RS00320,WP_001103241.1,triphosphoribosyl-dephospho-CoA synthase CitG,NC_004631.1
74013,74834,1,T_RS00325,WP_000544030.1,4-hydroxy-tetrahydrodipicolinate reductase,NC_004631.1
75687,76835,1,T_RS00330,WP_000597277.1,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,NC_004631.1
76851,80078,1,T_RS00335,WP_001126321.1,carbamoyl-phosphate synthase large subunit,NC_004631.1
80352,80747,1,T_RS00340,WP_000333324.1,carnitine metabolism transcriptional regulator CaiF,NC_004631.1
80825,81421,-1,T_RS00345,WP_000122863.1,carnitine operon protein CaiE,NC_004631.1
81533,82318,-1,T_RS00350,WP_000004377.1,crotonobetainyl-CoA hydratase,NC_004631.1
82372,83925,-1,T_RS00355,WP_000355790.1,crotonobetaine/carnitine-CoA ligase,NC_004631.1
83988,85205,-1,T_RS00360,WP_001016209.1,L-carnitine CoA-transferase,NC_004631.1
85317,86459,-1,T_RS00365,WP_000347135.1,crotonobetainyl-CoA dehydrogenase,NC_004631.1
86494,88011,-1,T_RS00370,WP_000787084.1,L-carnitine/gamma-butyrobetaine antiporter,NC_004631.1
88492,89262,1,T_RS00380,WP_000692187.1,electron transfer flavoprotein FixA,NC_004631.1
89278,90219,1,T_RS00385,WP_001032189.1,electron transfer flavoprotein subunit alpha/FixB family protein,NC_004631.1
90269,91555,1,T_RS00390,WP_001287774.1,FAD-dependent oxidoreductase,NC_004631.1
91552,91839,1,T_RS00395,WP_000203737.1,ferredoxin-like protein FixX,NC_004631.1
91987,93327,1,T_RS00400,WP_001136168.1,MFS transporter,NC_004631.1
93416,93646,1,T_RS00405,WP_001172089.1,YgdI/YgdR family lipoprotein,NC_004631.1
93937,94353,1,T_RS00410,WP_000767274.1,hypothetical protein,NC_004631.1
94577,94867,-1,T_RS00415,WP_000745961.1,DUF1471 family virulence protein SrfN,NC_004631.1
95765,97653,1,T_RS00425,NA,sulfatase-like hydrolase/transferase,NC_004631.1
98060,98590,1,T_RS00435,WP_000600696.1,glutathione-regulated potassium-efflux system oxidoreductase KefF,NC_004631.1
98583,100445,1,T_RS00440,WP_000377172.1,glutathione-regulated potassium-efflux system protein KefC,NC_004631.1
100644,101123,1,T_RS00445,WP_000624378.1,type 3 dihydrofolate reductase,NC_004631.1
101219,102067,-1,T_RS00450,WP_000257211.1,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH,NC_004631.1
102078,102455,-1,T_RS00455,WP_000610896.1,Co2+/Mg2+ efflux protein ApaG,NC_004631.1
102458,103279,-1,T_RS00460,WP_001065397.1,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,NC_004631.1
103276,104265,-1,T_RS00465,WP_000093001.1,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,NC_004631.1
104265,105551,-1,T_RS00470,WP_000800482.1,peptidylprolyl isomerase SurA,NC_004631.1
105605,107959,-1,T_RS00475,WP_000746124.1,LPS assembly protein LptD,NC_004631.1
108213,109025,1,T_RS00480,WP_001200595.1,co-chaperone DjlA,NC_004631.1
109120,109779,-1,T_RS00485,WP_000525195.1,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,NC_004631.1
109791,112697,-1,T_RS00490,WP_001116972.1,RNA polymerase-associated protein RapA,NC_004631.1
112871,115222,-1,T_RS00495,WP_000035599.1,DNA polymerase II,NC_004631.1
115266,115487,-1,T_RS00500,NA,YdcF family protein,NC_004631.1
115562,116002,-1,T_RS00505,WP_000458341.1,IS200/IS605 family transposase,NC_004631.1
116022,117230,1,T_RS00510,WP_001762563.1,RNA-guided endonuclease TnpB family protein,NC_004631.1
117306,117704,-1,T_RS00515,NA,YdcF family protein,NC_004631.1
118222,118641,1,T_RS00520,WP_001103153.1,DUF4751 family protein,NC_004631.1
118647,119342,-1,T_RS00525,WP_000888641.1,L-ribulose-5-phosphate 4-epimerase,NC_004631.1
119483,120985,-1,T_RS00530,WP_000151698.1,L-arabinose isomerase,NC_004631.1
120996,122705,-1,T_RS00535,WP_000951805.1,ribulokinase,NC_004631.1
123046,123891,1,T_RS00540,WP_000852388.1,arabinose operon transcriptional regulator AraC,NC_004631.1
124010,124777,1,T_RS00545,WP_001148375.1,DedA family protein,NC_004631.1
124816,125523,-1,T_RS00550,WP_000915973.1,thiamine ABC transporter ATP-binding protein ThiQ,NC_004631.1
125507,127117,-1,T_RS00555,WP_000235645.1,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,NC_004631.1
127093,128076,-1,T_RS00560,WP_000915326.1,thiamine ABC transporter substrate binding subunit,NC_004631.1
128254,129912,-1,T_RS00565,WP_001139028.1,HTH-type transcriptional regulator SgrR,NC_004631.1
130005,130127,1,T_RS00570,WP_001248755.1,glucose uptake inhibitor SgrT,NC_004631.1
130462,131067,-1,T_RS00575,WP_000818262.1,3-isopropylmalate dehydratase small subunit,NC_004631.1
131078,132478,-1,T_RS00580,WP_001140632.1,3-isopropylmalate dehydratase large subunit,NC_004631.1
132481,133572,-1,T_RS00585,WP_000042333.1,3-isopropylmalate dehydrogenase,NC_004631.1
133572,135143,-1,T_RS00590,WP_000082813.1,2-isopropylmalate synthase,NC_004631.1
135231,135317,-1,T_RS00595,WP_001762463.1,leu operon leader peptide,NC_004631.1
135975,136919,1,T_RS00600,WP_001115425.1,transcriptional regulator LeuO,NC_004631.1
137241,138965,1,T_RS00605,WP_000425609.1,acetolactate synthase 3 large subunit,NC_004631.1
138968,139459,1,T_RS00610,WP_001750262.1,acetolactate synthase small subunit,NC_004631.1
139743,140747,1,T_RS00615,WP_000762406.1,catabolite repressor/activator,NC_004631.1
141353,141811,1,T_RS00620,WP_000488291.1,division/cell wall cluster transcriptional repressor MraZ,NC_004631.1
141813,142754,1,T_RS00625,WP_000970440.1,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,NC_004631.1
142751,143116,1,T_RS00630,WP_000625651.1,cell division protein FtsL,NC_004631.1
143132,144898,1,T_RS00635,WP_000642235.1,peptidoglycan glycosyltransferase FtsI,NC_004631.1
144885,146372,1,T_RS00640,WP_000775075.1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,NC_004631.1
146369,147727,1,T_RS00645,WP_000626645.1,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,NC_004631.1
147721,148803,1,T_RS00650,WP_000964138.1,phospho-N-acetylmuramoyl-pentapeptide-transferase,NC_004631.1
148806,150122,1,T_RS00655,WP_000796441.1,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,NC_004631.1
150122,151366,1,T_RS00660,WP_001239803.1,cell division protein FtsW,NC_004631.1
151363,152430,1,T_RS00665,WP_000016622.1,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,NC_004631.1
152549,154024,1,T_RS00670,WP_001096072.1,UDP-N-acetylmuramate--L-alanine ligase,NC_004631.1
154017,154937,1,T_RS00675,WP_000763895.1,D-alanine--D-alanine ligase,NC_004631.1
154939,155769,1,T_RS00680,WP_000075728.1,cell division protein FtsQ,NC_004631.1
155766,157028,1,T_RS00685,WP_000588463.1,cell division protein FtsA,NC_004631.1
157089,158240,1,T_RS00690,WP_000462798.1,cell division protein FtsZ,NC_004631.1
158341,159258,1,T_RS00695,WP_000595474.1,UDP-3-O-acyl-N-acetylglucosamine deacetylase,NC_004631.1
159539,160036,1,T_RS00700,WP_000014336.1,secA translation cis-regulator SecM,NC_004631.1
160098,162803,1,T_RS00705,WP_000905763.1,preprotein translocase subunit SecA,NC_004631.1
162959,163354,1,T_RS00710,WP_000736063.1,8-oxo-dGTP diphosphatase MutT,NC_004631.1
163388,164377,-1,T_RS00715,WP_001200039.1,aldo/keto reductase,NC_004631.1
164463,165404,1,T_RS00720,WP_001802116.1,LysR family transcriptional regulator,NC_004631.1
165401,165592,-1,T_RS00725,WP_001286419.1,DNA gyrase inhibitor YacG,NC_004631.1
165602,166345,-1,T_RS00730,WP_000557441.1,cell division protein ZapD,NC_004631.1
166345,166965,-1,T_RS00735,WP_001270913.1,dephospho-CoA kinase,NC_004631.1
167191,168234,1,T_RS00740,WP_001217357.1,GMP reductase,NC_004631.1
168265,169467,-1,T_RS00745,WP_000114107.1,protein transport protein HofC,NC_004631.1
169457,170842,-1,T_RS00750,WP_000650611.1,type II secretion system protein GspE,NC_004631.1
170852,171289,-1,T_RS00755,WP_000414989.1,prepilin peptidase-dependent pilin,NC_004631.1
171511,172404,-1,T_RS00760,WP_001135134.1,carboxylating nicotinate-nucleotide diphosphorylase,NC_004631.1
172492,173055,1,T_RS00765,WP_000936326.1,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,NC_004631.1
173052,173906,1,T_RS00770,WP_000172040.1,beta-lactamase regulator AmpE,NC_004631.1
173998,174948,-1,T_RS00775,WP_000024772.1,family 43 glycosylhydrolase,NC_004631.1
174948,176354,-1,T_RS00780,WP_000357549.1,MFS transporter,NC_004631.1
176518,177891,-1,T_RS00785,WP_000969487.1,aromatic amino acid transporter AroP,NC_004631.1
178454,179218,1,T_RS00790,WP_000331771.1,pyruvate dehydrogenase complex transcriptional repressor PdhR,NC_004631.1
179378,182041,1,T_RS00795,WP_000003851.1,pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type,NC_004631.1
182056,183945,1,T_RS00800,WP_000963602.1,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,NC_004631.1
184147,185571,1,T_RS00805,WP_001527420.1,dihydrolipoyl dehydrogenase,NC_004631.1
185860,186144,1,T_RS00810,WP_000765363.1,outer membrane protein,NC_004631.1
186182,186973,-1,T_RS00815,WP_000757452.1,DUF2950 family protein,NC_004631.1
186986,188608,-1,T_RS00820,WP_000174529.1,DUF3300 domain-containing protein,NC_004631.1
188997,191594,1,T_RS00825,WP_000888954.1,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,NC_004631.1
191782,192144,1,T_RS00830,WP_000384314.1,protein YacL,NC_004631.1
192379,193332,1,T_RS00835,WP_001022089.1,2-keto-3-deoxygluconate permease 1,NC_004631.1
193329,194600,1,T_RS00840,WP_000783298.1,D-threonate kinase,NC_004631.1
194590,195573,1,T_RS00845,WP_000448742.1,D-threonate 4-phosphate dehydrogenase,NC_004631.1
195583,196350,1,T_RS00850,WP_000678254.1,DeoR/GlpR family DNA-binding transcription regulator,NC_004631.1
196380,197174,-1,T_RS00855,WP_000734279.1,adenosylmethionine decarboxylase,NC_004631.1
197195,198055,-1,T_RS00860,WP_000829972.1,polyamine aminopropyltransferase,NC_004631.1
198162,198509,-1,T_RS00865,WP_000846613.1,YacC family pilotin-like protein,NC_004631.1
198711,200321,1,T_RS00870,WP_000946058.1,multicopper oxidase CueO,NC_004631.1
200399,202789,-1,T_RS00875,WP_000829735.1,pyrroloquinoline quinone-dependent dehydrogenase,NC_004631.1
202995,203531,1,T_RS00880,WP_000683333.1,hypoxanthine phosphoribosyltransferase,NC_004631.1
203589,204251,-1,T_RS00885,WP_000651585.1,carbonate dehydratase,NC_004631.1
204360,205286,1,T_RS00890,WP_000150629.1,ABC transporter ATP-binding protein,NC_004631.1
205283,206053,1,T_RS00895,WP_000983419.1,ABC transporter permease,NC_004631.1
206158,206598,1,T_RS00900,WP_000901966.1,PTS sugar transporter subunit IIA,NC_004631.1
206660,207889,1,T_RS00905,WP_000245324.1,polysaccharide deacetylase family protein,NC_004631.1
207896,208276,-1,T_RS00910,WP_000621526.1,aspartate 1-decarboxylase,NC_004631.1
208371,209225,-1,T_RS00915,WP_000905353.1,pantoate--beta-alanine ligase,NC_004631.1
209351,210145,-1,T_RS00920,WP_000043003.1,3-methyl-2-oxobutanoate hydroxymethyltransferase,NC_004631.1
210255,211430,-1,T_RS00925,WP_000924983.1,fimbrial-like adhesin,NC_004631.1
211467,212051,-1,T_RS00930,WP_001253683.1,fimbrial-like protein,NC_004631.1
212063,212671,-1,T_RS00935,WP_000744142.1,fimbrial protein StaE,NC_004631.1
212686,213252,-1,T_RS00940,WP_000827925.1,fimbrial protein,NC_004631.1
213239,215845,-1,T_RS00945,WP_001125008.1,outer membrane usher protein,NC_004631.1
215905,216639,-1,T_RS00950,WP_000967611.1,fimbrial chaperone,NC_004631.1
216818,217402,-1,T_RS00955,WP_000709193.1,fimbrial protein,NC_004631.1
217797,218276,-1,T_RS00960,WP_000150775.1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,NC_004631.1
218273,219670,-1,T_RS00965,WP_204100700.1,polynucleotide adenylyltransferase PcnB,NC_004631.1
219832,220728,-1,T_RS00970,WP_001763945.1,tRNA glutamyl-Q(34) synthetase GluQRS,NC_004631.1
220797,221252,-1,T_RS00975,WP_001155232.1,RNA polymerase-binding protein DksA,NC_004631.1
221429,222133,-1,T_RS00980,WP_000899414.1,DNA/RNA nuclease SfsA,NC_004631.1
222150,222680,-1,T_RS00985,WP_001294175.1,RNA 2'%2C3'-cyclic phosphodiesterase,NC_004631.1
222753,225182,1,T_RS00990,WP_024131150.1,ATP-dependent helicase HrpB,NC_004631.1
225323,227845,1,T_RS00995,WP_000918132.1,bifunctional glycosyl transferase/transpeptidase,NC_004631.1
228138,230329,1,T_RS01000,NA,ferrichrome porin FhuA,NC_004631.1
230378,231175,1,T_RS01005,WP_001157197.1,Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC,NC_004631.1
231175,232065,1,T_RS01010,WP_001208784.1,Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD,NC_004631.1
232080,234119,1,T_RS01015,WP_094516706.1,Fe(3+)-hydroxamate ABC transporter permease FhuB,NC_004631.1
234210,235490,-1,T_RS01020,WP_000045264.1,glutamate-1-semialdehyde 2%2C1-aminomutase,NC_004631.1
235660,237081,1,T_RS01025,WP_000845433.1,H(+)/Cl(-) exchange transporter ClcA,NC_004631.1
237163,237507,1,T_RS01030,WP_001278668.1,iron-sulfur cluster insertion protein ErpA,NC_004631.1
237608,238231,-1,T_RS01035,WP_000964234.1,TRIC cation channel family protein,NC_004631.1
238268,239068,-1,T_RS01040,WP_001118833.1,vitamin B12 ABC transporter substrate-binding protein BtuF,NC_004631.1
239061,239759,-1,T_RS01045,WP_000689821.1,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,NC_004631.1
239844,241361,1,T_RS01050,WP_000146450.1,dGTPase,NC_004631.1
241491,242918,1,T_RS01055,WP_000753959.1,serine endoprotease DegP,NC_004631.1
243071,244228,1,T_RS01060,WP_000929458.1,DNA-binding transcriptional regulator CdaR,NC_004631.1
244317,244703,-1,T_RS01065,WP_000272193.1,DUF3461 family protein,NC_004631.1
244950,246252,1,T_RS01070,NA,MHS family MFS transporter,NC_004631.1
246289,247113,-1,T_RS01075,WP_001186669.1,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase,NC_004631.1
247143,249815,-1,T_RS01080,WP_001094518.1,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,NC_004631.1
249928,250722,-1,T_RS01085,WP_001018214.1,type I methionyl aminopeptidase,NC_004631.1
251172,251897,1,T_RS01090,WP_000246886.1,30S ribosomal protein S2,NC_004631.1
252155,253006,1,T_RS01095,WP_000808106.1,translation elongation factor Ts,NC_004631.1
253151,253876,1,T_RS01100,WP_000224567.1,UMP kinase,NC_004631.1
254023,254580,1,T_RS01105,WP_000622423.1,ribosome recycling factor,NC_004631.1
254722,255918,1,T_RS01110,WP_000811892.1,1-deoxy-D-xylulose-5-phosphate reductoisomerase,NC_004631.1
256231,256989,1,T_RS01115,WP_000947409.1,(2E%2C6E)-farnesyl-diphosphate-specific ditrans%2Cpolycis-undecaprenyl-diphosphate synthase,NC_004631.1
257002,257859,1,T_RS01120,WP_000922422.1,phosphatidate cytidylyltransferase,NC_004631.1
257871,259223,1,T_RS01125,WP_000949016.1,sigma E protease regulator RseP,NC_004631.1
259255,261666,1,T_RS01130,WP_001240921.1,outer membrane protein assembly factor BamA,NC_004631.1
261789,262274,1,T_RS01135,WP_000758966.1,molecular chaperone Skp,NC_004631.1
262278,263303,1,T_RS01140,WP_001139265.1,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,NC_004631.1
263409,263864,1,T_RS01145,WP_000210741.1,3-hydroxyacyl-ACP dehydratase FabZ,NC_004631.1
263868,264656,1,T_RS01150,WP_000566033.1,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,NC_004631.1
264656,265804,1,T_RS01155,WP_000741216.1,lipid-A-disaccharide synthase,NC_004631.1
265801,266397,1,T_RS01160,WP_000569412.1,ribonuclease HII,NC_004631.1
266421,269903,1,T_RS01165,WP_001294828.1,DNA polymerase III subunit alpha,NC_004631.1
269916,270875,1,T_RS01170,WP_000055753.1,acetyl-CoA carboxylase carboxyl transferase subunit alpha,NC_004631.1
271067,271525,1,T_RS01175,WP_000502118.1,IS200/IS605 family transposase,NC_004631.1
271765,273528,1,T_RS01180,NA,PKD domain-containing protein,NC_004631.1
273604,275745,1,T_RS01185,WP_001021059.1,lysine decarboxylase LdcC,NC_004631.1
275801,276190,1,T_RS01190,WP_000901086.1,VOC family protein,NC_004631.1
276253,277545,1,T_RS01195,WP_000210062.1,tRNA lysidine(34) synthetase TilS,NC_004631.1
277629,277889,-1,T_RS01200,WP_000062330.1,Rho-binding antiterminator,NC_004631.1
277876,278076,-1,T_RS01205,WP_001518678.1,YaeP family protein,NC_004631.1
278274,278819,1,T_RS01210,WP_001185319.1,YaeQ family protein,NC_004631.1
278816,279238,1,T_RS01215,WP_000560526.1,aminoacyl-tRNA hydrolase,NC_004631.1
279270,279971,1,T_RS01220,WP_000252574.1,envelope stress response activation lipoprotein NlpE,NC_004631.1
280079,280537,-1,T_RS01225,WP_000502118.1,IS200/IS605 family transposase,NC_004631.1
280756,282474,-1,T_RS01230,WP_001260683.1,proline--tRNA ligase,NC_004631.1
282585,283292,-1,T_RS01235,WP_000093978.1,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,NC_004631.1
283289,283693,-1,T_RS01240,WP_001202315.1,Rcs stress response system protein RcsF,NC_004631.1
283812,284627,-1,T_RS01245,WP_000874217.1,methionine ABC transporter substrate-binding lipoprotein MetQ,NC_004631.1
284666,285319,-1,T_RS01250,WP_001287483.1,methionine ABC transporter permease MetI,NC_004631.1
285312,286343,-1,T_RS01255,WP_000594016.1,methionine ABC transporter ATP-binding protein MetN,NC_004631.1
286533,287099,1,T_RS01260,WP_001140158.1,D-glycero-beta-D-manno-heptose 1%2C7-bisphosphate 7-phosphatase,NC_004631.1
293014,293469,1,T_RS01285,WP_000985648.1,DUF4385 domain-containing protein,NC_004631.1
293573,294874,1,T_RS01290,WP_000807800.1,MFS transporter,NC_004631.1
294871,295194,-1,T_RS01295,WP_001264473.1,YfiM family lipoprotein,NC_004631.1
295239,296594,-1,T_RS01300,WP_000949286.1,CDP-diacylglycerol--serine O-phosphatidyltransferase,NC_004631.1
296578,296619,-1,T_RS26325,WP_211180504.1,protein PssL,NC_004631.1
296709,299369,-1,T_RS01305,WP_000082656.1,protein lysine acetyltransferase,NC_004631.1
299423,300103,-1,T_RS01310,WP_000183640.1,tRNA-uridine aminocarboxypropyltransferase,NC_004631.1
300176,300595,-1,T_RS01315,WP_001098738.1,thioredoxin TrxC,NC_004631.1
300799,301836,1,T_RS01320,WP_000997368.1,tRNA/rRNA methyltransferase,NC_004631.1
301952,302641,-1,T_RS01325,WP_000179978.1,uracil-DNA glycosylase,NC_004631.1
302960,303343,1,T_RS01330,WP_000627811.1,autonomous glycyl radical cofactor GrcA,NC_004631.1
303405,303992,-1,T_RS01335,WP_000188410.1,cysteine/O-acetylserine transporter,NC_004631.1
304095,304963,1,T_RS01340,NA,LysR family transcriptional regulator,NC_004631.1
305010,306344,-1,T_RS01345,WP_000219176.1,ATP-dependent RNA helicase SrmB,NC_004631.1
306474,307211,1,T_RS01350,WP_000083348.1,tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase TrmN,NC_004631.1
307196,308818,-1,T_RS01355,WP_000989173.1,L-aspartate oxidase,NC_004631.1
309082,309246,1,T_RS25755,WP_014344135.1,rpoE leader peptide RseD,NC_004631.1
309243,309818,1,T_RS01360,WP_000003307.1,RNA polymerase sigma factor RpoE,NC_004631.1
309850,310500,1,T_RS01365,WP_001168379.1,anti-sigma-E factor RseA,NC_004631.1
310500,311456,1,T_RS01370,WP_000812023.1,sigma-E factor regulatory protein RseB,NC_004631.1
311453,311932,1,T_RS01375,WP_000589049.1,SoxR-reducing system protein RseC,NC_004631.1
312191,313990,1,T_RS01380,WP_000790154.1,translation elongation factor 4,NC_004631.1
314007,314981,1,T_RS01385,WP_000002559.1,signal peptidase I,NC_004631.1
315255,315935,1,T_RS01390,WP_001068341.1,ribonuclease III,NC_004631.1
315932,316837,1,T_RS01395,WP_000102231.1,GTPase Era,NC_004631.1
316849,317577,1,T_RS01400,WP_000399380.1,DNA repair protein RecO,NC_004631.1
317589,318320,1,T_RS01405,WP_000818969.1,pyridoxine 5'-phosphate synthase,NC_004631.1
318320,318700,1,T_RS01410,WP_000986043.1,holo-ACP synthase,NC_004631.1
318812,319072,-1,T_RS01415,WP_001196291.1,YfhL family 4Fe-4S dicluster ferredoxin,NC_004631.1
319125,320036,-1,T_RS01420,WP_001581956.1,LysR family transcriptional regulator,NC_004631.1
320152,321348,1,T_RS01425,WP_001276374.1,OFA family MFS transporter,NC_004631.1
321370,322287,1,T_RS01430,WP_000684023.1,oxidoreductase,NC_004631.1
322326,323174,-1,T_RS01435,WP_000995694.1,MurR/RpiR family transcriptional regulator,NC_004631.1
323290,324183,1,T_RS01440,WP_001048539.1,N-acetylmuramic acid 6-phosphate etherase,NC_004631.1
