#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_000913.3",40417,41931,"-",944765,"caiT","b0040","NP_414582.1",504,"L-carnitine:gamma-butyrobetaine antiporter"
"chromosome","NC_000913.3",42403,43173,"+",947316,"fixA","b0041","NP_414583.2",256,"putative electron transfer flavoprotein FixA"
"chromosome","NC_000913.3",43188,44129,"+",948939,"fixB","b0042","NP_414584.1",313,"putative electron transfer flavoprotein FixB"
"chromosome","NC_000913.3",44180,45466,"+",948958,"fixC","b0043","NP_414585.1",428,"putative oxidoreductase FixC"
"chromosome","NC_000913.3",45463,45750,"+",948590,"fixX","b0044","NP_414586.1",95,"putative ferredoxin FixX"
"chromosome","NC_000913.3",45807,47138,"+",944766,"yaaU","b0045","NP_414587.1",443,"putative transporter YaaU"
"chromosome","NC_000913.3",47246,47776,"+",944767,"kefF","b0046","NP_414588.1",176,"regulator of KefC-mediated potassium transport and quinone oxidoreductase"
"chromosome","NC_000913.3",47769,49631,"+",944773,"kefC","b0047","NP_414589.1",620,"K(+) : H(+) antiporter KefC"
"chromosome","NC_000913.3",49823,50302,"+",944790,"folA","b0048","NP_414590.1",159,"dihydrofolate reductase"
"chromosome","NC_000913.3",50380,51222,"-",944770,"apaH","b0049","NP_414591.1",280,"diadenosine tetraphosphatase"
"chromosome","NC_000913.3",51229,51606,"-",944772,"apaG","b0050","NP_414592.1",125,"DUF525 domain-containing protein ApaG"
"chromosome","NC_000913.3",51609,52430,"-",944939,"rsmA","b0051","NP_414593.1",273,"16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase"
"chromosome","NC_000913.3",52427,53416,"-",944919,"pdxA","b0052","NP_414594.1",329,"4-hydroxythreonine-4-phosphate dehydrogenase"
"chromosome","NC_000913.3",53416,54702,"-",944812,"surA","b0053","NP_414595.1",428,"chaperone SurA"
"chromosome","NC_000913.3",54755,57109,"-",945011,"lptD","b0054","NP_414596.1",784,"lipopolysaccharide assembly protein LptD"
"chromosome","NC_000913.3",57364,58179,"+",948992,"djlA","b0055","NP_414597.1",271,"co-chaperone protein DjlA"
"chromosome","NC_000913.3",58474,59124,"+",945039,"yabP","b0056","YP_009518734.1",216,"putative uncharacterized protein YabP"
"chromosome","NC_000913.3",59121,59279,"+",38094933,"yabQ","b0057","YP_009518735.1",52,"protein YabQ"
"chromosome","NC_000913.3",59687,60346,"-",946262,"rluA","b0058","NP_414600.1",219,"23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase"
"chromosome","NC_000913.3",60358,63264,"-",948523,"rapA","b0059","NP_414601.1",968,"RNA polymerase-binding ATPase and RNAP recycling factor"
"chromosome","NC_000913.3",63429,65780,"-",944779,"polB","b0060","NP_414602.1",783,"DNA polymerase II"
"chromosome","NC_000913.3",65855,66550,"-",945294,"araD","b0061","NP_414603.1",231,"L-ribulose-5-phosphate 4-epimerase AraD"
"chromosome","NC_000913.3",66835,68337,"-",947511,"araA","b0062","NP_414604.1",500,"L-arabinose isomerase"
"chromosome","NC_000913.3",68348,70048,"-",946017,"araB","b0063","NP_414605.1",566,"ribulokinase"
"chromosome","NC_000913.3",70387,71265,"+",944780,"araC","b0064","NP_414606.1",292,"DNA-binding transcriptional dual regulator AraC"
"chromosome","NC_000913.3",71351,72115,"+",944783,"yabI","b0065","NP_414607.1",254,"DedA family protein YabI"
"chromosome","NC_000913.3",72229,72927,"-",944785,"thiQ","b0066","NP_414608.1",232,"thiamine ABC transporter ATP binding subunit"
"chromosome","NC_000913.3",72911,74521,"-",944784,"thiP","b0067","NP_414609.1",536,"thiamine ABC transporter membrane subunit"
"chromosome","NC_000913.3",74497,75480,"-",946306,"thiB","b0068","NP_414610.1",327,"thiamine ABC transporter periplasmic binding protein"
"chromosome","NC_000913.3",75644,77299,"-",944788,"sgrR","b0069","NP_414611.1",551,"DNA-binding transcriptional dual regulator SgrR"
"chromosome","NC_000913.3",77388,77519,"+",7751624,"sgrT","b4662","YP_002791237.1",43,"PtsG glucose transporter inhibitor"
"chromosome","NC_000913.3",77621,78799,"+",944793,"setA","b0070","YP_025293.1",392,"sugar exporter SetA"
"chromosome","NC_000913.3",78848,79453,"-",945642,"leuD","b0071","NP_414613.1",201,"3-isopropylmalate dehydratase subunit LeuD"
"chromosome","NC_000913.3",79464,80864,"-",945076,"leuC","b0072","NP_414614.1",466,"3-isopropylmalate dehydratase subunit LeuC"
"chromosome","NC_000913.3",80867,81958,"-",944798,"leuB","b0073","NP_414615.4",363,"3-isopropylmalate dehydrogenase"
"chromosome","NC_000913.3",81958,83529,"-",947465,"leuA","b0074","NP_414616.1",523,"2-isopropylmalate synthase"
"chromosome","NC_000913.3",83622,83708,"-",946072,"leuL","b0075","NP_414617.1",28,"leu operon leader peptide"
"chromosome","NC_000913.3",84368,85312,"+",949034,"leuO","b0076","NP_414618.4",314,"DNA-binding transcriptional dual regulator LeuO"
"chromosome","NC_000913.3",85467,85511,"-",38094934,"yabR","b4726","YP_009518736.1",14,"protein YabR"
"chromosome","NC_000913.3",85630,87354,"+",948793,"ilvI","b0077","YP_025294.2",574,"acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit"
"chromosome","NC_000913.3",87357,87848,"+",947267,"ilvH","b0078","NP_414620.1",163,"acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit"
"chromosome","NC_000913.3",88028,89032,"+",944804,"cra","b0080","NP_414622.1",334,"DNA-binding transcriptional dual regulator Cra"
"chromosome","NC_000913.3",89634,90092,"+",944810,"mraZ","b0081","NP_414623.1",152,"DNA-binding transcriptional repressor MraZ"
"chromosome","NC_000913.3",90094,91035,"+",944806,"rsmH","b0082","NP_414624.1",313,"16S rRNA m(4)C1402 methyltransferase"
"chromosome","NC_000913.3",91032,91397,"+",944803,"ftsL","b0083","NP_414625.1",121,"cell division protein FtsL"
"chromosome","NC_000913.3",91413,93179,"+",944799,"ftsI","b0084","NP_414626.1",588,"peptidoglycan DD-transpeptidase FtsI"
"chromosome","NC_000913.3",93166,94653,"+",944791,"murE","b0085","NP_414627.1",495,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
"chromosome","NC_000913.3",94650,96008,"+",944813,"murF","b0086","NP_414628.1",452,"D-alanyl-D-alanine-adding enzyme"
"chromosome","NC_000913.3",96002,97084,"+",944814,"mraY","b0087","NP_414629.1",360,"phospho-N-acetylmuramoyl-pentapeptide-transferase"
"chromosome","NC_000913.3",97087,98403,"+",944818,"murD","b0088","NP_414630.1",438,"UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase"
"chromosome","NC_000913.3",98403,99647,"+",946322,"ftsW","b0089","NP_414631.1",414,"peptidoglycan glycosyltransferase FtsW"
"chromosome","NC_000913.3",99644,100711,"+",946321,"murG","b0090","NP_414632.1",355,"N-acetylglucosaminyl transferase"
"chromosome","NC_000913.3",100765,102240,"+",946153,"murC","b0091","NP_414633.1",491,"UDP-N-acetylmuramate--L-alanine ligase"
"chromosome","NC_000913.3",102233,103153,"+",946324,"ddlB","b0092","NP_414634.1",306,"D-alanine--D-alanine ligase B"
"chromosome","NC_000913.3",103155,103985,"+",944823,"ftsQ","b0093","NP_414635.1",276,"cell division protein FtsQ"
"chromosome","NC_000913.3",103982,105244,"+",944778,"ftsA","b0094","NP_414636.1",420,"cell division protein FtsA"
"chromosome","NC_000913.3",105305,106456,"+",944786,"ftsZ","b0095","NP_414637.1",383,"cell division protein FtsZ"
"chromosome","NC_000913.3",106557,107474,"+",944816,"lpxC","b0096","NP_414638.1",305,"UDP-3-O-acyl-N-acetylglucosamine deacetylase"
"chromosome","NC_000913.3",107705,108217,"+",944831,"secM","b0097","NP_414639.2",170,"SecA translation regulator"
"chromosome","NC_000913.3",108279,110984,"+",944821,"secA","b0098","NP_414640.1",901,"protein translocation ATPase"
"chromosome","NC_000913.3",111044,111433,"+",944824,"mutT","b0099","NP_414641.1",129,"8-oxo-dGTP diphosphatase"
"chromosome","NC_000913.3",111649,111846,"-",945630,"yacG","b0101","NP_414643.1",65,"DNA gyrase inhibitor YacG"
"chromosome","NC_000913.3",111856,112599,"-",944873,"zapD","b0102","NP_414644.1",247,"cell division factor ZapD"
"chromosome","NC_000913.3",112599,113219,"-",949060,"coaE","b0103","NP_414645.1",206,"dephospho-CoA kinase"
"chromosome","NC_000913.3",113244,113288,"+",38094935,"yacM","b4727","YP_009518737.1",14,"protein YacM"
"chromosome","NC_000913.3",113444,114487,"+",948986,"guaC","b0104","NP_414646.1",347,"GMP reductase"
"chromosome","NC_000913.3",114522,115724,"-",945806,"hofC","b0106","NP_414648.1",400,"inner membrane protein HofC"
"chromosome","NC_000913.3",115714,117099,"-",947481,"hofB","b0107","NP_414649.1",461,"T2SSE family protein"
"chromosome","NC_000913.3",117109,117549,"-",945817,"ppdD","b0108","NP_414650.1",146,"prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD"
"chromosome","NC_000913.3",117752,118645,"-",948869,"nadC","b0109","NP_414651.1",297,"quinolinate phosphoribosyltransferase (decarboxylating)"
"chromosome","NC_000913.3",118733,119284,"+",948877,"ampD","b0110","NP_414652.1",183,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase"
"chromosome","NC_000913.3",119281,120135,"+",946678,"ampE","b0111","NP_414653.1",284,"protein AmpE"
"chromosome","NC_000913.3",120178,121551,"-",946018,"aroP","b0112","NP_414654.1",457,"aromatic amino acid:H(+) symporter AroP"
"chromosome","NC_000913.3",122092,122856,"+",944827,"pdhR","b0113","NP_414655.1",254,"DNA-binding transcriptional dual regulator PdhR"
"chromosome","NC_000913.3",123017,125680,"+",944834,"aceE","b0114","NP_414656.1",887,"pyruvate dehydrogenase E1 component"
"chromosome","NC_000913.3",125695,127587,"+",944794,"aceF","b0115","NP_414657.1",630,"pyruvate dehydrogenase, E2 subunit"
"chromosome","NC_000913.3",127912,129336,"+",944854,"lpd","b0116","NP_414658.1",474,"lipoamide dehydrogenase"
"chromosome","NC_000913.3",129407,131260,"-",944868,"yacH","b0117","NP_414659.1",617,"DUF3300 domain-containing protein YacH"
"chromosome","NC_000913.3",131615,134212,"+",944864,"acnB","b0118","NP_414660.1",865,"AcnB"
"chromosome","NC_000913.3",134388,134750,"+",944809,"yacL","b0119","NP_414661.2",120,"PF06062 family protein YacL"
"chromosome","NC_000913.3",134788,135582,"-",947719,"speD","b0120","NP_414662.1",264,"S-adenosylmethionine decarboxylase proenzyme"
"chromosome","NC_000913.3",135598,136464,"-",947726,"speE","b0121","NP_414663.1",288,"spermidine synthase"
"chromosome","NC_000913.3",136570,136917,"-",948472,"yacC","b0122","NP_414664.4",115,"putative lipoprotein YacC"
"chromosome","NC_000913.3",137083,138633,"+",947736,"cueO","b0123","NP_414665.1",516,"multicopper oxidase CueO"
"chromosome","NC_000913.3",138835,141225,"-",944830,"gcd","b0124","NP_414666.1",796,"quinoprotein glucose dehydrogenase"
"chromosome","NC_000913.3",141431,141967,"+",946624,"hpt","b0125","NP_414667.4",178,"hypoxanthine phosphoribosyltransferase"
"chromosome","NC_000913.3",142008,142670,"-",944832,"can","b0126","NP_414668.1",220,"carbonic anhydrase 2"
"chromosome","NC_000913.3",142779,143705,"+",944833,"yadG","b0127","NP_414669.1",308,"putative ABC transporter ATP-binding protein YadG"
"chromosome","NC_000913.3",143702,144472,"+",944836,"yadH","b0128","NP_414670.1",256,"putative ABC transporter membrane subunit YadH"
"chromosome","NC_000913.3",144577,145017,"+",947397,"yadI","b0129","NP_414671.1",146,"putative PTS enzyme IIA component YadI"
"chromosome","NC_000913.3",145081,146310,"+",946536,"yadE","b0130","NP_414672.1",409,"putative polysaccharide deacetylase lipoprotein YadE"
"chromosome","NC_000913.3",146314,146694,"-",945686,"panD","b0131","NP_414673.1",126,"aspartate 1-decarboxylase proenzyme"
"chromosome","NC_000913.3",146968,147870,"+",944781,"rpnC","b0132","NP_414674.1",300,"recombination-promoting nuclease RpnC"
"chromosome","NC_000913.3",147944,148795,"-",944958,"panC","b0133","NP_414675.1",283,"pantothenate synthetase"
"chromosome","NC_000913.3",148807,149601,"-",944839,"panB","b0134","NP_414676.1",264,"3-methyl-2-oxobutanoate hydroxymethyltransferase"
"chromosome","NC_000913.3",149715,150953,"-",944837,"yadC","b0135","NP_414677.1",412,"fimbrial tip-adhesin YadC"
"chromosome","NC_000913.3",151003,151599,"-",944835,"yadK","b0136","NP_414678.1",198,"putative fimbrial protein YadK"
"chromosome","NC_000913.3",151626,152231,"-",944829,"yadL","b0137","NP_414679.1",201,"putative fimbrial protein YadL"
"chromosome","NC_000913.3",152243,152812,"-",944828,"yadM","b0138","NP_414680.4",189,"putative fimbrial protein YadM"
"chromosome","NC_000913.3",152829,155426,"-",944819,"htrE","b0139","NP_414681.1",865,"putative fimbrial usher protein HtrE"
"chromosome","NC_000913.3",155461,156201,"-",944859,"yadV","b0140","NP_414682.1",246,"putative fimbrial chaperone YadV"
"chromosome","NC_000913.3",156299,156883,"-",944841,"yadN","b0141","NP_414683.1",194,"putative fimbrial protein YadN"
"chromosome","NC_000913.3",157253,157732,"-",948792,"folK","b0142","NP_414684.1",159,"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase"
"chromosome","NC_000913.3",157729,159126,"-",947318,"pcnB","b0143","NP_414685.4",465,"poly(A) polymerase I"
"chromosome","NC_000913.3",159186,160112,"-",944846,"gluQ","b0144","NP_414686.3",308,"glutamyl-Q tRNA(Asp) synthetase"
"chromosome","NC_000913.3",160149,160604,"-",944850,"dksA","b0145","NP_414687.1",151,"RNA polymerase-binding transcription factor DksA"
"chromosome","NC_000913.3",160782,161486,"-",944855,"sfsA","b0146","NP_414688.1",234,"sugar fermentation stimulation protein A"
"chromosome","NC_000913.3",161501,162031,"-",944848,"thpR","b0147","NP_414689.4",176,"RNA 2\\',3\\'-cyclic phosphodiesterase"
"chromosome","NC_000913.3",162105,164534,"+",944845,"hrpB","b0148","NP_414690.4",809,"RNA-dependent NTPase HrpB"
"chromosome","NC_000913.3",164730,167264,"+",944843,"mrcB","b0149","NP_414691.1",844,"peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB"
"chromosome","NC_000913.3",164865,167264,"+",944843,"mrcB","b0149","YP_010051172.1",799,"PBP1Bgamma"
"chromosome","NC_000913.3",167484,169727,"+",944856,"fhuA","b0150","NP_414692.1",747,"ferrichrome outer membrane transporter/phage receptor"
"chromosome","NC_000913.3",169778,170575,"+",945250,"fhuC","b0151","NP_414693.1",265,"iron(III) hydroxamate ABC transporter ATP binding subunit"
"chromosome","NC_000913.3",170575,171465,"+",947510,"fhuD","b0152","NP_414694.1",296,"iron(III) hydroxamate ABC transporter periplasmic binding protein"
"chromosome","NC_000913.3",171462,173444,"+",946890,"fhuB","b0153","NP_414695.1",660,"iron(III) hydroxamate ABC transporter membrane subunit"
"chromosome","NC_000913.3",173602,174882,"-",946892,"hemL","b0154","NP_414696.1",426,"glutamate-1-semialdehyde 2,1-aminomutase"
"chromosome","NC_000913.3",175048,175095,"+",63925623,"yadX","b4765","YP_010051173.1",15,"protein YadX"
"chromosome","NC_000913.3",175107,176528,"+",946715,"clcA","b0155","NP_414697.1",473,"chloride:H(+) antiporter ClcA"
"chromosome","NC_000913.3",176552,176617,"+",38094936,"yadW","b4728","YP_009518738.1",21,"protein YadW"
"chromosome","NC_000913.3",176610,176954,"+",944857,"erpA","b0156","NP_414698.1",114,"iron-sulfur cluster insertion protein ErpA"
"chromosome","NC_000913.3",177001,177624,"-",949062,"yadS","b0157","NP_414699.1",207,"PF03458 family protein YadS"
"chromosome","NC_000913.3",177662,178462,"-",947574,"btuF","b0158","NP_414700.1",266,"vitamin B12 ABC transporter periplasmic binding protein"
"chromosome","NC_000913.3",178455,179153,"-",948542,"mtn","b0159","NP_414701.1",232,"5\\'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
"chromosome","NC_000913.3",179237,180754,"+",947177,"dgt","b0160","NP_414702.1",505,"dGTP triphosphohydrolase"
"chromosome","NC_000913.3",180884,182308,"+",947139,"degP","b0161","NP_414703.1",474,"periplasmic serine endoprotease DegP"
"chromosome","NC_000913.3",182463,183620,"+",944860,"cdaR","b0162","NP_414704.4",385,"DNA-binding transcriptional activator CdaR"
"chromosome","NC_000913.3",183709,184095,"-",947044,"yaeH","b0163","NP_414705.1",128,"DUF3461 domain-containing protein YaeH"
"chromosome","NC_000913.3",184257,185069,"-",945002,"yaeI","b0164","NP_414706.2",270,"phosphodiesterase YaeI"
"chromosome","NC_000913.3",185123,185947,"-",944862,"dapD","b0166","NP_414708.1",274,"tetrahydrodipicolinate succinylase"
"chromosome","NC_000913.3",185978,188650,"-",944863,"glnD","b0167","NP_414709.1",890,"protein-PII uridylyltransferase/uridylyl-removing enzyme"
"chromosome","NC_000913.3",188712,189506,"-",947882,"map","b0168","NP_414710.1",264,"methionine aminopeptidase"
"chromosome","NC_000913.3",189874,190599,"+",947874,"rpsB","b0169","NP_414711.1",241,"30S ribosomal subunit protein S2"
"chromosome","NC_000913.3",190857,191708,"+",944866,"tsf","b0170","NP_414712.1",283,"protein chain elongation factor EF-Ts"
"chromosome","NC_000913.3",191855,192580,"+",944989,"pyrH","b0171","NP_414713.1",241,"UMP kinase"
"chromosome","NC_000913.3",192872,193429,"+",946122,"frr","b0172","NP_414714.1",185,"ribosome-recycling factor"
"chromosome","NC_000913.3",193521,194717,"+",945019,"dxr","b0173","NP_414715.1",398,"1-deoxy-D-xylulose 5-phosphate reductoisomerase"
"chromosome","NC_000913.3",194903,195664,"+",944874,"ispU","b0174","NP_414716.1",253,"ditrans,polycis-undecaprenyl-diphosphate synthase"
"chromosome","NC_000913.3",195677,196534,"+",944876,"cdsA","b0175","NP_414717.2",285,"CDP-diglyceride synthetase"
"chromosome","NC_000913.3",196546,197898,"+",944871,"rseP","b0176","NP_414718.1",450,"intramembrane zinc metalloprotease RseP"
"chromosome","NC_000913.3",197928,200360,"+",944870,"bamA","b0177","NP_414719.1",810,"outer membrane protein assembly factor BamA"
"chromosome","NC_000913.3",200482,200967,"+",944861,"skp","b0178","NP_414720.1",161,"periplasmic chaperone Skp"
"chromosome","NC_000913.3",200971,201996,"+",944882,"lpxD","b0179","NP_414721.1",341,"UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
"chromosome","NC_000913.3",202101,202556,"+",944888,"fabZ","b0180","NP_414722.1",151,"3-hydroxy-acyl"
"chromosome","NC_000913.3",202560,203348,"+",944849,"lpxA","b0181","NP_414723.1",262,"acyl"
"chromosome","NC_000913.3",203348,204496,"+",944838,"lpxB","b0182","NP_414724.1",382,"lipid A disaccharide synthase"
"chromosome","NC_000913.3",204493,205089,"+",944852,"rnhB","b0183","NP_414725.1",198,"RNase HII"
"chromosome","NC_000913.3",205126,208608,"+",944877,"dnaE","b0184","NP_414726.1",1160,"DNA polymerase III subunit alpha"
"chromosome","NC_000913.3",208621,209580,"+",944895,"accA","b0185","NP_414727.1",319,"acetyl-CoA carboxyltransferase subunit alpha"
"chromosome","NC_000913.3",209679,211820,"+",944887,"ldcC","b0186","NP_414728.1",713,"lysine decarboxylase 2"
"chromosome","NC_000913.3",211877,212266,"+",944875,"yaeR","b0187","NP_414729.4",129,"VOC domain-containing protein YaeR"
"chromosome","NC_000913.3",212331,213629,"+",944889,"tilS","b0188","NP_414730.1",432,"tRNA(Ile)-lysidine synthetase"
"chromosome","NC_000913.3",213678,213932,"-",944891,"rof","b0189","NP_414731.2",84,"modulator of Rho-dependent transcription termination"
"chromosome","NC_000913.3",213925,214125,"-",1450233,"yaeP","b4406","YP_026160.1",66,"PF06786 family protein YaeP"
"chromosome","NC_000913.3",214291,214836,"+",946809,"yaeQ","b0190","NP_414732.1",181,"uncharacterized protein YaeQ"
"chromosome","NC_000913.3",214833,215255,"+",946046,"arfB","b0191","NP_414733.1",140,"peptidyl-tRNA hydrolase, ribosome rescue factor"
"chromosome","NC_000913.3",215269,215979,"+",946782,"nlpE","b0192","NP_414734.1",236,"sensor lipoprotein NlpE"
"chromosome","NC_000913.3",216179,217003,"-",944892,"yaeF","b0193","NP_414735.4",274,"peptidase C92 family protein YaeF"
"chromosome","NC_000913.3",217057,218775,"-",949116,"proS","b0194","NP_414736.1",572,"proline--tRNA ligase"
"chromosome","NC_000913.3",218887,219594,"-",949112,"trmO","b0195","NP_414737.1",235,"tRNA m(6)t(6)A37 methyltransferase"
"chromosome","NC_000913.3",219591,219995,"-",949113,"rcsF","b0196","NP_414738.1",134,"sensor lipoprotein RcsF"
"chromosome","NC_000913.3",220113,220928,"-",944893,"metQ","b0197","NP_414739.1",271,"L-methionine/D-methionine ABC transporter membrane anchored binding protein"
"chromosome","NC_000913.3",220968,221621,"-",944894,"metI","b0198","NP_414740.1",217,"L-methionine/D-methionine ABC transporter membrane subunit"
"chromosome","NC_000913.3",221614,222645,"-",944896,"metN","b0199","NP_414741.1",343,"L-methionine/D-methionine ABC transporter ATP binding subunit"
"chromosome","NC_000913.3",222833,223408,"+",944879,"gmhB","b0200","NP_414742.1",191,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
"chromosome","NC_000913.3",229167,229970,"+",944901,"dkgB","b0207","NP_414743.1",267,"methylglyoxal reductase DkgB"
"chromosome","NC_000913.3",229967,230881,"-",947507,"yafC","b0208","NP_414744.1",304,"DNA-binding transcriptional regulator YafC"
"chromosome","NC_000913.3",231122,231922,"+",946286,"yafD","b0209","NP_414745.1",266,"endonuclease/exonuclease/phosphatase domain-containing protein YafD"
"chromosome","NC_000913.3",231926,232549,"+",946197,"yafE","b0210","NP_414746.1",207,"putative S-adenosylmethionine-dependent methyltransferase"
"chromosome","NC_000913.3",232597,233955,"-",945694,"mltD","b0211","NP_414747.1",452,"membrane-bound lytic murein transglycosylase D"
"chromosome","NC_000913.3",234027,234782,"-",944902,"gloB","b0212","NP_414748.1",251,"hydroxyacylglutathione hydrolase GloB"
"chromosome","NC_000913.3",234288,234320,"+",71004553,"ykfO","b4815","YP_010283908.1",10,"protein YkfO"
"chromosome","NC_000913.3",234816,235538,"+",944903,"yafS","b0213","NP_414749.2",240,"putative S-adenosyl-L-methionine-dependent methyltransferase"
"chromosome","NC_000913.3",235535,236002,"-",946955,"rnhA","b0214","NP_414750.1",155,"ribonuclease HI"
"chromosome","NC_000913.3",236067,236798,"+",946441,"dnaQ","b0215","NP_414751.1",243,"DNA polymerase III subunit epsilon"
"chromosome","NC_000913.3",237335,238120,"+",949009,"yafT","b0217","NP_414752.1",261,"lipoprotein YafT"
"chromosome","NC_000913.3",238257,238736,"-",5061498,"ykfM","b4586","YP_001165307.1",159,"uncharacterized protein YkfM"
