Accession	Island start	Island end	Length	Method	Gene name	Gene ID	Locus	Gene start	Gene end	Strand	Product	External Annotations
NC_004631.1	956403	978962	22559	Predicted by at least one method	WP_000059632.1		T_RS04475	977497	978771	-1	integrase	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001515479.1		T_RS04380	956794	957657	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000250489.1		T_RS04385	957844	958059	1	DNA-binding protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000837630.1		T_RS04390	958089	958400	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_015606140.1		T_RS04395	958415	958801	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001291071.1		T_RS04400	958818	959105	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000034418.1		T_RS04405	959191	959484	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001000809.1		T_RS04410	959597	959992	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000129503.1		T_RS04415	960089	960382	-1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001042532.1		T_RS04420	961175	961819	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000964110.1		T_RS04425	961895	963406	-1	conjugal transfer protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000444413.1		T_RS04430	965065	965574	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000734387.1		T_RS04435	965621	966136	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001280266.1		T_RS04440	966220	966543	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_015606141.1		T_RS04445	966843	968279	1	putative PilV-like protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001019842.1		T_RS04450	968796	969110	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_015606142.1		T_RS04455	969126	970553	1	PilV-like protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000766114.1		T_RS04460	970921	973881	-1	type III restriction endonuclease subunit R	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001038193.1		T_RS04465	973891	975867	-1	site-specific DNA-methyltransferase	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001096461.1		T_RS04470	976062	977450	1	hypothetical protein	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_000059632.1		T_RS04475	977497	978771	-1	integrase	
NC_004631.1	956794	979322	22528	Predicted by at least one method	WP_001637383.1		T_RS04485	979149	979322	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000250489.1		T_RS04385	957844	958059	1	DNA-binding protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000837630.1		T_RS04390	958089	958400	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_015606140.1		T_RS04395	958415	958801	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_001291071.1		T_RS04400	958818	959105	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000034418.1		T_RS04405	959191	959484	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_001000809.1		T_RS04410	959597	959992	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000129503.1		T_RS04415	960089	960382	-1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_001042532.1		T_RS04420	961175	961819	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000964110.1		T_RS04425	961895	963406	-1	conjugal transfer protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000444413.1		T_RS04430	965065	965574	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000734387.1		T_RS04435	965621	966136	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_001280266.1		T_RS04440	966220	966543	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_015606141.1		T_RS04445	966843	968279	1	putative PilV-like protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_001019842.1		T_RS04450	968796	969110	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_015606142.1		T_RS04455	969126	970553	1	PilV-like protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000766114.1		T_RS04460	970921	973881	-1	type III restriction endonuclease subunit R	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_001038193.1		T_RS04465	973891	975867	-1	site-specific DNA-methyltransferase	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_001096461.1		T_RS04470	976062	977450	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000059632.1		T_RS04475	977497	978771	-1	integrase	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_001637383.1		T_RS04485	979149	979322	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000598924.1		T_RS04495	979751	980548	-1	protein MtfA	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_071525126.1		T_RS23940	980809	981051	1	hypothetical protein	
NC_004631.1	957844	981190	23346	Predicted by at least one method	WP_000500833.1		T_RS04505	981029	981190	1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_001768843.1		T_RS05125	1092609	1092725	1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_044790249.1		T_RS05130	1092912	1093241	-1	integrase	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method		recT	T_RS23975	1093219	1093586	-1	recombination and repair protein RecT	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method			T_RS23980	1093581	1093691	1	replication protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method			T_RS05140	1093704	1094099	1	DNA-binding protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_001579494.1		T_RS05145	1094075	1094248	-1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_000529513.1		T_RS05150	1094385	1095515	-1	diguanylate cyclase	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_001237518.1		T_RS05155	1095911	1097890	1	hydrolase	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_001540220.1		T_RS05160	1097908	1098099	-1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_000848063.1		T_RS05165	1098299	1098913	-1	disulfide bond formation protein B	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_012664551.1		T_RS05170	1098923	1099075	-1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_001233444.1		T_RS05175	1099214	1100128	-1	drug/metabolite transporter DMT permease	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_001674911.1		T_RS05180	1100746	1100946	1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method			T_RS23985	1101427	1101794	-1	integrase	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_000343629.1		T_RS05190	1101918	1102043	1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method			T_RS05195	1102044	1103188	1	IS256 family transposase	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_031624337.1		T_RS05200	1103164	1103304	-1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_000251841.1		T_RS05205	1103417	1103563	-1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_001525024.1		T_RS23990	1103786	1103980	1	hypothetical protein	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_000354403.1		T_RS05210	1104110	1104529	1	N-acetyltransferase	
NC_004631.1	1092609	1105393	12784	Predicted by at least one method	WP_000030950.1		T_RS05215	1104917	1105393	-1	hypothetical protein	
NC_004631.1	1097908	1102043	4135	Predicted by at least one method	WP_001540220.1		T_RS05160	1097908	1098099	-1	hypothetical protein	
NC_004631.1	1097908	1102043	4135	Predicted by at least one method	WP_000848063.1		T_RS05165	1098299	1098913	-1	disulfide bond formation protein B	
NC_004631.1	1097908	1102043	4135	Predicted by at least one method	WP_012664551.1		T_RS05170	1098923	1099075	-1	hypothetical protein	
NC_004631.1	1097908	1102043	4135	Predicted by at least one method	WP_001233444.1		T_RS05175	1099214	1100128	-1	drug/metabolite transporter DMT permease	
NC_004631.1	1097908	1102043	4135	Predicted by at least one method	WP_001674911.1		T_RS05180	1100746	1100946	1	hypothetical protein	
NC_004631.1	1097908	1102043	4135	Predicted by at least one method			T_RS23985	1101427	1101794	-1	integrase	
NC_004631.1	1097908	1102043	4135	Predicted by at least one method	WP_000343629.1		T_RS05190	1101918	1102043	1	hypothetical protein	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method			T_RS05195	1102044	1103188	1	IS256 family transposase	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method	WP_031624337.1		T_RS05200	1103164	1103304	-1	hypothetical protein	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method	WP_000251841.1		T_RS05205	1103417	1103563	-1	hypothetical protein	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method	WP_001525024.1		T_RS23990	1103786	1103980	1	hypothetical protein	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method	WP_000354403.1		T_RS05210	1104110	1104529	1	N-acetyltransferase	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method	WP_000030950.1		T_RS05215	1104917	1105393	-1	hypothetical protein	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method	WP_000422884.1		T_RS05220	1105722	1106117	-1	hypothetical protein	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method			T_RS05225	1106801	1107522	1	type III secretion protein SopE2	
NC_004631.1	1103164	1107971	4807	Predicted by at least one method	WP_001134857.1		T_RS05230	1107807	1107971	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_046598485.1		T_RS24005	1189172	1189360	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_000502119.1		T_RS05650	1189317	1189775	1	IS200/IS605 family transposase	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_000917281.1		T_RS05655	1190280	1191404	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method			T_RS24010	1191558	1191746	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_000281950.1		T_RS05660	1192445	1192858	1	peptidase	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001766395.1		T_RS05665	1192875	1193603	1	pertussis toxin subunit ArtA	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_000158843.1		T_RS05670	1193795	1194337	1	peptidoglycan-binding protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001277616.1		T_RS05675	1194485	1194862	-1	phage tail protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001529135.1		T_RS05680	1194935	1195744	-1	cytolethal distending toxin subunit B homolog	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001036668.1		T_RS05685	1196241	1196405	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_000497459.1		T_RS05690	1196617	1196856	-1	virulence protein MsgA	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001537478.1		T_RS05695	1197047	1197568	-1	lipoprotein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001537306.1		T_RS05700	1197986	1198198	-1	cold-shock protein CspH	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_010989183.1		T_RS05705	1198330	1198593	-1	virulence factor	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_010989182.1		T_RS05710	1198642	1198806	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_010989181.1		T_RS05715	1198892	1199020	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method			T_RS24015	1199168	1199364	-1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_000789474.1		T_RS05720	1199398	1199955	1	membrane protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001788086.1		T_RS05725	1199966	1200136	-1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_010989180.1		T_RS05735	1200688	1200861	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_000977726.1		T_RS05740	1201189	1201533	-1	lysozyme inhibitor	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001580445.1		T_RS05745	1201602	1201691	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001589102.1		T_RS05750	1201746	1201835	1	hypothetical protein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_000758947.1		T_RS05755	1201911	1202036	1	lipoprotein	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001218118.1		T_RS05760	1202661	1203128	1	molecular chaperone	
NC_004631.1	1189172	1203386	14214	Predicted by at least one method	WP_001618321.1		T_RS05765	1203237	1203386	-1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_046598485.1		T_RS24005	1189172	1189360	1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_000502119.1		T_RS05650	1189317	1189775	1	IS200/IS605 family transposase	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_000917281.1		T_RS05655	1190280	1191404	1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method			T_RS24010	1191558	1191746	1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_000281950.1		T_RS05660	1192445	1192858	1	peptidase	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_001766395.1		T_RS05665	1192875	1193603	1	pertussis toxin subunit ArtA	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_000158843.1		T_RS05670	1193795	1194337	1	peptidoglycan-binding protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_001277616.1		T_RS05675	1194485	1194862	-1	phage tail protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_001529135.1		T_RS05680	1194935	1195744	-1	cytolethal distending toxin subunit B homolog	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_001036668.1		T_RS05685	1196241	1196405	1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_000497459.1		T_RS05690	1196617	1196856	-1	virulence protein MsgA	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_001537478.1		T_RS05695	1197047	1197568	-1	lipoprotein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_001537306.1		T_RS05700	1197986	1198198	-1	cold-shock protein CspH	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_010989183.1		T_RS05705	1198330	1198593	-1	virulence factor	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_010989182.1		T_RS05710	1198642	1198806	1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_010989181.1		T_RS05715	1198892	1199020	1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method			T_RS24015	1199168	1199364	-1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_000789474.1		T_RS05720	1199398	1199955	1	membrane protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_001788086.1		T_RS05725	1199966	1200136	-1	hypothetical protein	
NC_004631.1	1189172	1200861	11689	Predicted by at least one method	WP_010989180.1		T_RS05735	1200688	1200861	1	hypothetical protein	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000666335.1		T_RS06430	1330634	1331272	-1	DNA-binding response regulator	Virulence gene(BLAST)
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_001050755.1		T_RS06435	1331303	1334065	-1	hybrid sensor histidine kinase/response regulator	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_001738217.1	spiC	T_RS06440	1334466	1334867	1	hypothetical protein	Virulence gene(BLAST)
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000261287.1		T_RS06445	1334869	1336362	1	EscC/YscC/HrcC family type III secretion system outer membrane ring protein	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000323784.1		T_RS06450	1336343	1337554	1	type III secretion system protein SsaD	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000210204.1		T_RS06455	1337562	1337804	1	type III secretion system chaperone SsaE	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000972855.1		T_RS06460	1338007	1338333	1	type III secretion system chaperone SseA	"Virulence gene(Victors,PATRIC_VF,BLAST)"
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000094422.1		T_RS06465	1338340	1338930	1	secreted effector protein SseB	Virulence gene(BLAST)
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000711030.1		T_RS06470	1338927	1339400	1	CesD/SycD/LcrH family type III secretion system chaperone	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_001079758.1		T_RS06475	1339403	1340857	1	pathogenicity island 2 effector protein SseC	"Virulence gene(Victors,BLAST)"
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000388328.1		T_RS06480	1340873	1341460	1	pathogenicity island 2 effector protein SseD	"Virulence gene(Victors,BLAST)"
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000249605.1		T_RS06485	1341463	1341879	1	pathogenicity island 2 effector protein SseE	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000979964.1		T_RS06490	1341931	1342365	1	type III secretion system chaperone protein SscB	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000690723.1		T_RS06495	1342381	1343163	1	pathogenicity island 2 effector protein SseF	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000805847.1		T_RS06500	1343160	1343849	1	pathogenicity island 2 effector protein SseG	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000350226.1		T_RS06505	1343943	1344158	1	type III secretion system needle protein SsaG	Virulence gene(BLAST)
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000444714.1		T_RS06510	1344136	1344426	1	type III secretion system protein SsaH	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_010989174.1		T_RS06515	1344438	1344686	1	type III secretion system protein SsaI	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000862869.1		T_RS06520	1344683	1345432	1	type III secretion system lipoprotein SsaJ	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_001765123.1		T_RS06525	1345450	1345998	1	pathogenicity island protein	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000011199.1		T_RS06530	1345995	1346669	1	type III secretion system protein SsaK	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_001022057.1		T_RS06535	1346659	1347651	1	type III secretion system protein SsaL	
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_000383695.1		T_RS06540	1347709	1348077	1	type III secretion system protein SsaM	"Virulence gene(Victors,BLAST)"
NC_004631.1	1330634	1348077	17443	Predicted by at least one method	WP_001258227.1		T_RS06545	1348062	1350107	1	EscV/YscV/HrcV family type III secretion system export apparatus protein	"Virulence gene(Victors,PATRIC_VF,BLAST)"
NC_004631.1	1351759	1355895	4136	Predicted by at least one method	WP_000449096.1		T_RS06555	1351401	1351778	1	type III secretion system protein SsaO	
NC_004631.1	1351759	1355895	4136	Predicted by at least one method	WP_001223304.1		T_RS06560	1351759	1352133	1	secretion system apparatus protein SsaP	Virulence gene(BLAST)
NC_004631.1	1351759	1355895	4136	Predicted by at least one method	WP_000944194.1		T_RS06565	1352114	1353082	1	type III secretion system protein SsaQ	
NC_004631.1	1351759	1355895	4136	Predicted by at least one method	WP_000056360.1		T_RS06570	1353150	1353797	1	EscR/YscR/HrcR family type III secretion system export apparatus protein	
NC_004631.1	1351759	1355895	4136	Predicted by at least one method	WP_000999977.1		T_RS06575	1353794	1354060	1	type III secretion system protein SsaS	
NC_004631.1	1351759	1355895	4136	Predicted by at least one method	WP_000194051.1		T_RS06580	1354061	1354840	1	type III secretion system protein SsaT	
NC_004631.1	1351759	1355895	4136	Predicted by at least one method	WP_001291715.1		T_RS06585	1354837	1355895	1	EscU/YscU/HrcU family type III secretion system export apparatus switch protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_000412353.1		T_RS06860	1406555	1407937	-1	amino acid transporter	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_014344054.1		T_RS24075	1407916	1408050	-1	hypothetical protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_001165548.1		T_RS06865	1408218	1408790	-1	DNA-invertase	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_024131173.1		T_RS06870	1408862	1409335	1	phage tail collar protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_001802272.1		T_RS24080	1409346	1409849	1	phage tail protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_001057643.1		T_RS06875	1409849	1410466	1	tail assembly protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_024131174.1		T_RS06880	1410473	1410949	-1	tail fiber protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_024131175.1		T_RS06885	1410960	1411493	-1	tail fiber protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_000852584.1		T_RS06895	1411988	1412566	-1	tail fiber protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_001219103.1		T_RS06900	1412559	1413662	-1	baseplate protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_000859114.1		T_RS06905	1413653	1414000	-1	baseplate protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_000148263.1		T_RS06910	1414057	1414584	-1	baseplate protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_000808000.1		T_RS06915	1414581	1415735	-1	hypothetical protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_010989167.1		T_RS06920	1415723	1415938	-1	membrane protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_000458383.1		T_RS06925	1415935	1416819	-1	hypothetical protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_000135574.1		T_RS06930	1416819	1419284	-1	phage tail tape measure protein	
NC_004631.1	1407916	1441766	33850	Predicted by at least one method	WP_000084228.1		T_RS06935	1419460	1419795	-1	hypothetical protein	
